molecule,communityId
NM_001080457,1
NM_001080458,1
NM_001080463,1
NM_001080467,1
NM_001080469,1
NM_001080470,1
NM_001080472,1
NM_001080475,1
NM_001080477,1
NM_001080479,1
NM_001080480,1
NM_001080481,1
NM_001080485,1
NM_001080494,1
NM_001080495,1
NM_001080497,1
NM_001080504,1
NM_001080508,1
NM_001080509,1
NM_001080512,1
NM_001080513,1
NM_001080517,1
NM_001080527,1
NM_001080534,1
NM_001080539,1
NM_001080541,1
NM_001080545,1
NM_001080554,1
NM_001080555,1
NM_001080556,1
NM_001080744,1
NM_001080745,1
NM_001080779,1
NM_001080790,1
NM_001080825,1
NM_001080849,1
NM_001080850,1
NM_001080950,1
NM_001080953,1
NM_001080956,1
NM_001080975,1
NM_001080976,1
NM_001080997,1
NM_001081,1
NM_001081491,1
NM_001081550,1
NM_001081677,1
NM_001081686,1
NM_001081752,1
NM_001081753,1
NM_001081754,1
NM_001081755,1
NM_001082480,1
NM_001082533,1
NM_001082534,1
NM_001082575,1
NM_001082578,1
NM_001082959,1
NM_001082967,1
NM_001082968,1
NM_001083,1
NM_001083112,1
NM_001083113,1
NM_001083537,1
NM_001083588,1
NM_001083589,1
NM_001083591,1
NM_001083602,1
NM_001083603,1
NM_001083605,1
NM_001083606,1
NM_001083614,1
NM_001083615,1
NM_001083617,1
NM_001083619,1
NM_001083620,1
