from,to
hsa-miR-154-5p,NM_001256704
hsa-miR-154-5p,NM_001261456
hsa-miR-154-5p,NM_001261457
hsa-miR-154-5p,NM_001267582
hsa-miR-154-5p,NM_001282161
hsa-miR-154-5p,NM_001282429
hsa-miR-154-5p,NM_001282851
hsa-miR-154-5p,NM_001284364
hsa-miR-154-5p,NM_001288614
hsa-miR-154-5p,NM_001289038
hsa-miR-154-5p,NM_001289121
hsa-miR-154-5p,NM_001297698
hsa-miR-154-5p,NM_001317160
hsa-miR-154-5p,NM_001317162
hsa-miR-154-5p,NM_001320768
hsa-miR-154-5p,NM_001322159
hsa-miR-154-5p,NM_001324375
hsa-miR-154-5p,NM_001330470
hsa-miR-154-5p,NM_001349233
hsa-miR-154-5p,NM_001363062
hsa-miR-154-5p,NM_001363538
hsa-miR-154-5p,NM_001365428
hsa-miR-154-5p,NM_001370465
hsa-miR-154-5p,NM_001375599
hsa-miR-154-5p,NM_002042
hsa-miR-154-5p,NM_002348
hsa-miR-154-5p,NM_002592
hsa-miR-154-5p,NM_003218
hsa-miR-154-5p,NM_003414
hsa-miR-154-5p,NM_003591
hsa-miR-154-5p,NM_005680
hsa-miR-154-5p,NM_006547
hsa-miR-154-5p,NM_006574
hsa-miR-154-5p,NM_012263
hsa-miR-154-5p,NM_014289
hsa-miR-154-5p,NM_014372
hsa-miR-154-5p,NM_015415
hsa-miR-154-5p,NM_018442
hsa-miR-154-5p,NM_018710
hsa-miR-154-5p,NM_020749
hsa-miR-154-5p,NM_023080
hsa-miR-154-5p,NM_023943
hsa-miR-154-5p,NM_024613
hsa-miR-154-5p,NM_025218
hsa-miR-154-5p,NM_032124
hsa-miR-154-5p,NM_032226
hsa-miR-154-5p,NM_033051
hsa-miR-154-5p,NM_033512
hsa-miR-154-5p,NM_052954
hsa-miR-154-5p,NM_138620
hsa-miR-154-5p,NM_173678
hsa-miR-154-5p,NM_175873
hsa-miR-154-5p,NM_182548
hsa-miR-154-5p,NM_182649
hsa-miR-154-5p,NM_198798
hsa-miR-154-5p,XM_005253944
hsa-miR-154-5p,XM_005262701
hsa-miR-154-5p,XM_005265245
hsa-miR-154-5p,XM_006711266
hsa-miR-154-5p,XM_011512632
hsa-miR-154-5p,XM_011519747
hsa-miR-154-5p,XM_017008851
hsa-miR-154-5p,XM_017014339
hsa-miR-154-5p,XM_017021440
hsa-miR-154-5p,XM_047420217
